task_description,task_category,task_required_skill,employer_id,employer_skill,match
"This task involves testing a cybersecurity app. Skills needed:  ENCRYPTION , networking, SIEM,  fir3walls .", Cyb3rs3curity ," ENCRYPTION , networking, SIEM,  fir3walls ",35675991-4480-b0a3-3a09-fde81d4fb715,"blender,  SWIFT , kubernetes,  terr@form, JAVASCRIPT",0
"This task involves developing a data science app. Skills needed:  pandas , scikit-l3arn, SQL, NumPy.", DATA SCIENCE ," pandas , scikit-l3arn, SQL, NumPy",864b5018-7297-03bb-038e-6428b4c9d2b1,"c++, Flutter ,  p@nd@s ,  BL3ND3R , Swift",0
"This task involv3s improving a mobil3 d3v3lopm3nt app. Skills n33d3d: REACT NATIVE, Flutt3r .",MOBILE DEVELOPMENT,"REACT NATIVE, Flutt3r ",30b3b4b9-117c-e431-c362-c6d15c54d2ad," node.Js ,  firewalls , EncryptioN",0
" THIS TASK INVOLV3S D3V3LOPING A DATA SCI3NC3 APP. SKILLS N33D3D:  PYTHON , NUMPY. ",D@t@ Science," PYTHON , NumPy",8b2ec7c3-2441-080c-f488-adc85d678cec," react , kubernetes, pandas, SIEM",0
" THIS TASK INVOLVES TESTING A DEVOPS APP. SKILLS NEEDED:  DOCKER , CI/CD. ", DEVOPS ," docker , CI/CD",31e4fa88-ad68-009a-9ba5-8942df6d67fe,"Flutt3r , J@v@, J@V@SCRIPT, SQL, firewalls",0
" This t@sk involves designing @ d@t@ science @pp. Skills needed: python, sql, NumPy. ",Data Sci3nc3,"python, sql, NumPy",273ec0b6-e5b8-f0e8-8174-239c381537c4," JAVASCRIPT , Swift, c++,  react ,  t3rraform",0
"THIS T@SK INVOLV3S D3SIGNING @ MOBIL3 D3V3LOPM3NT @PP. SKILLS N33D3D: R3@CT N@TIV3, FLUTT3R ,  SWIFT .",Mobil3 D3v3lopm3nt,"re@ct n@tive, FLUTT3R ,  Swift ",e72ed7c6-115e-0474-35eb-5a9299ff9de1,"re@ct n@tive, R3ACT, FIR3W@LLS",0
"This task involves designing a game development app. Skills needed: Unreal Engine, Unity,  c++ .",Game Development,"Unreal Engine, Unity,  c++ ",f97779ed-df67-f7ab-0811-5e11bce0f23b,"c++, CI/CD, bl3nd3r, python",0
"This task involves improving a cybersecurity app. Skills needed:  networking , FIREWALLS, SIEM.", Cybersecurity ," networking , FIREWALLS, SIEM",71d713fa-ee59-0348-3ac2-4fbb44aa8cd4,"NumPy, c++,  javaScript , Css, SQL",0
"This task involves developing a data science app. Skills needed: NumPy, SCIKIT-LEARN, p@nd@s.",D@t@ Science,"NumPy, SCIKIT-LEARN, p@nd@s",694ec0d2-b0e0-ddd6-f96d-6e951a07d9e8,"SWIFT, EncryptioN,  terraform, node.Js, javaScript",0
"THIS TASK INVOLVES DESIGNING A GAME DEVELOPMENT APP. SKILLS NEEDED: C++, BLENDER,  C# , UNITY.",GAM3 D3V3LOPM3NT,"c++, BLENDER,  C# , Unity",773eea9f-fb53-0dbc-4984-d26a29907ad5,"FIREWALLS, C#, Swift, NumPy,  c++ ",1
"This t@sk involves testing @ devops @pp. Skills needed:  @ws  ,  terr@form, docker,  CI/CD .",DEVOPS," aws  ,  terr@form, docker,  CI/CD ",1707ded9-e6f8-b59e-f3bc-3ce4ba924073,"C#,  kub3rn3t3s ,  terraform,  p@nd@s , scikit-learn",0
" This task involves developing a mobile development app. Skills needed:  Swift ,  J@v@ . ",Mobil3 D3v3lopm3nt," Swift ,  J@v@ ",1e34965d-c595-5410-71ff-8b2b53ae3b25,"J@V@SCRIPT, NODE.JS, SCIKIT-LE@RN,  aws  ",0
"This t@sk involves designing @ g@me development @pp. Skills needed: Unre@l Engine, C#.",G@me Development,"Unreal Engine, C#",45f03a31-44ea-0615-fdd4-dff38d6c08d7,"KUB3RN3T3S, react,  C# , html",0
" This task involves developing a mobile development app. Skills needed:  r3act nativ3 , JAVA. ",MOBILE DEVELOPMENT," r3act nativ3 , JAVA",8d701ccd-53fe-60c8-ef06-15813059ae24,"Swift, j@v@Script, c++, SIEM, sql",0
" THIS TASK INVOLVES IMPROVING A DATA SCIENCE APP. SKILLS NEEDED: PANDAS, PYTHON. ",DATA SCIENCE,"pandas, PYTHON",67337877-3a25-1c75-7fbf-03a61ab49700,"javaScript, CI/CD, Unity,  kotlin, NumPy",0
" THIS TASK INVOLVES DEVELOPING A MOBILE DEVELOPMENT APP. SKILLS NEEDED:  R3ACT NATIV3 , J@V@, SWIFT,  KOTLIN. ",Mobile Development," R3ACT NATIV3 , J@v@, Swift,  kotlin",616ea9b7-b927-ca48-beb6-d78e919aa393," C# ,  SIEM , EncryptioN, J@v@",0
" THIS TASK INVOLVES TESTING A CYBERSECURITY APP. SKILLS NEEDED: SIEM, N3TWORKING, ENCRYPTION. ", CYBERSECURITY ,"SIEM, n3tworking, EncryptioN",938f1617-6022-5597-cb9f-2325a81045bd,"Css, networking, j@v@Script",0
"This task involves developing a game development app. Skills needed: Unr3al Engin3, C#.",G@me Development,"Unr3al Engin3, C#",6f021869-ad3b-48c4-4934-f42fa0788b9f,"CSS, HTML, KUBERNETES, C++",0
"This task involves developing a cybersecurity app. Skills needed:  PENETRATION TESTING,  EncryptioN .", CYBERSECURITY ," PENETRATION TESTING,  EncryptioN ",9b8bcd81-db24-6600-8602-950686fea0a1,"networking, PYTHON,  CSS ",0
"This task involv3s t3sting a gam3 d3v3lopm3nt app. Skills n33d3d:  bl3nd3r , C#, C++, Unr3al Engin3.",GAME DEVELOPMENT," blender , C#, C++, Unr3al Engin3",0afce788-5785-29cb-953d-757fe12d4fc2,"R3@CT N@TIV3, Swift, pandas",0
"This task involves testing a web development app. Skills needed: html, javaScript,  Css , RE@CT.",WEB DEVELOPMENT,"html, javaScript,  Css , RE@CT",3b75d541-c577-db7b-ec81-29da3917f03d," Unreal Engine , Css,  FIREWALLS , CI/CD",0
"THIS TASK INVOLV3S D3SIGNING A D3VOPS APP. SKILLS N33D3D: @WS ,  KUB3RN3T3S ,  T3RRAFORM.",D3VOPS,"@WS ,  kubernetes ,  terraform",61b795d0-8e03-d7e1-e8cd-ca58b118dd2f,"  kotlin , kub3rn3t3s, html, @ws ,  C++ ",1
"This t@sk involves improving @ web development @pp. Skills needed: html, j@v@Script, REACT,  Css .",W3B D3V3LOPM3NT,"html, javaScript, REACT,  Css ",db011f60-35ff-35c4-1f13-11a26e3baf86,"fir3walls,  javaScript , CI/CD, kub3rn3t3s",0
" THIS T@SK INVOLVES DEVELOPING @ G@ME DEVELOPMENT @PP. SKILLS NEEDED:  C++ , BLENDER. ",G@m3 D3v3lopm3nt," c++ , BLENDER",719ba565-ba57-446d-8675-12aea9dea250,"HTML, Unreal Engine, DOCKER,  Flutter  , Swift",0
" This task involv3s d3v3loping a d3vops app. Skills n33d3d: KUB3RN3T3S,  CI/CD ,  t3rraform,  AWS  . ",D3vOps,"KUB3RN3T3S,  CI/CD ,  terraform,  AWS  ",77db5269-ac3b-29ab-686a-72ab63a665fa,"kub3rn3t3s, DOCKER, CI/CD, react",1
" THIS T@SK INVOLVES DESIGNING @ MOBILE DEVELOPMENT @PP. SKILLS NEEDED: FLUTTER ,  KOTLIN, SWIFT, REACT NATIVE. ",Mobile Development,"Flutter ,  kotlin, SWIFT, REACT NATIVE",81226c6f-9d1f-230a-fdd2-1a548294c520,"SIEM,  CI/CD ,  TERR@FORM, Css, C#",0
"This task involves improving a devops app. Skills needed:  docker ,  AWS  ,  kubernetes .",D3VOPS," docker ,  AWS  ,  kubernetes ",088136cc-78c6-e77a-059c-68d52de5bc36," NumPy , KUBERNETES, sql, firew@lls",0
"This t@sk involv3s d3signing @ g@m3 d3v3lopm3nt @pp. Skills n33d3d:  Unr3@l Engin3 ,  C# .",Gam3 D3v3lopm3nt," Unreal Engine ,  C# ",276f33f6-3521-dc34-bb8a-8b6924028015,"sql, BLENDER, c++, Java,   kotlin ",0
"This t@sk involves improving @ g@me development @pp. Skills needed: Unr3@l Engin3,  C# , UNITY.",Gam3 D3v3lopm3nt,"Unr3@l Engin3,  C# , UNITY",825a857c-c99e-f567-fe90-b81fb60a063b,"scikit-l3@rn, FLUTTER , CI/CD, re@ct n@tive",0
" This task involves testing a mobile development app. Skills needed:  kotlin,  Flutter  . ",Mobile Development," kotlin,  Flutter  ",ac6f09b7-6c3f-96c0-00ab-8fb80b7b247d,"fir3w@lls, C#,   t3rr@form ",0
"THIS TASK INVOLVES TESTING A DATA SCIENCE APP. SKILLS NEEDED:  PYTHON , PANDAS, SCIKIT-LE@RN.",Data Sci3nc3," python , pandas, scikit-le@rn",9bda64f5-0c3a-60ae-c117-40505391aa29,"DOCKER, kubernetes, python,  react ",0
" This task involves developing a data science app. Skills needed: sql, NumPy, p@nd@s. ",Data Science,"sql, NumPy, p@nd@s",afef11ee-5d07-7ff9-4de4-04ac8df671ea,"html,   penetration testing ,  pandas ",0
"THIS TASK INVOLV3S T3STING A GAM3 D3V3LOPM3NT APP. SKILLS N33D3D: C#, UNITY, C++.",Game Development,"C#, UNITY, c++",854c8922-7cc5-1f9e-3513-00b08b3d9cb4,"EncryptioN, SCIKIT-L3@RN, CI/CD, UNITY",0
"This task involves designing a game development app. Skills needed:  C# ,  C++ , blender.",Game Development," C# ,  C++ , blender",b7e288a7-9a17-a974-c30c-68bd5f1c7f4f,"kubernetes, SIEM, CI/CD, c++, Flutt3r ",0
"THIS T@SK INVOLVES DESIGNING @ DEVOPS @PP. SKILLS NEEDED: CI/CD,   T3RR@FORM , @WS .", DevOps ,"CI/CD,   t3rr@form , aws ",e6c517c3-55e0-d232-3bf3-c21f4549e1fb,"sql, ENCRYPTION, C#",0
"This task involv3s d3signing a data sci3nc3 app. Skills n33d3d: sql, python.",DATA SCI3NC3,"sql, python",b158380f-481d-71d3-fbe1-193ea4bd2e9b,"FLUTT3R ,  SIEM , P@ND@S, DOCKER",0
"This task involves designing a mobile development app. Skills needed:   kotlin , JAVA, FLUTTER ,  Swift .",Mobile Development,"  kotlin , JAVA, FLUTTER ,  Swift ",b5d4365e-cc30-33c9-b62b-e67630c6ae4b,"SIEM, c++, react",0
"This task involv3s t3sting a data sci3nc3 app. Skills n33d3d:  scikit-l3arn , p@nd@s,  NumPy , PYTHON.",DATA SCI3NC3," scikit-l3arn , p@nd@s,  NumPy , PYTHON",ee303772-1e9e-c8c0-3684-63d75bc012f0," KOTLIN, kubernetes, re@ct n@tive, Unreal Engine",0
"This t@sk involv3s d3signing @ w3b d3v3lopm3nt @pp. Skills n33d3d:  JAVASCRIPT , Css, nod3.Js, HTML.",Web Development," JAVASCRIPT , Css, node.Js, HTML",cc422f83-5220-623e-a94e-c4f500af1d0f,"REACT NATIVE,  pandas ,  PENETR@TION TESTING, python",0
" This task involv3s improving a gam3 d3v3lopm3nt app. Skills n33d3d:  C# , Unr3al Engin3, Unity. ",G@M3 D3V3LOPM3NT," C# , Unr3al Engin3, Unity",601e5e14-fdc9-202e-65aa-e95870bd01f2," C++ , networking, blender, SQL, scikit-learn",0
"This task involves testing a data science app. Skills needed: PYTHON, SQL, scikit-learn, NumPy.",D@T@ SCIENCE,"PYTHON, SQL, scikit-learn, NumPy",d4d3a314-87cc-b5e1-bb1d-6c25c25e5ab9,"SWIFT, node.Js,  Java ",0
"This task involves developing a web development app. Skills needed:  j@v@Script , NODE.JS, react.",Web Development," j@v@Script , NODE.JS, react",aeaf597c-d4b0-e83b-06b3-9a2a512f4e54," terr@form, Unity,  NODE.JS , scikit-learn, kubernetes",0
"THIS TASK INVOLVES TESTING A DEVOPS APP. SKILLS NEEDED:  CI/CD , DOCKER.",D3vOps," CI/CD , docker",39b55214-2ded-7f7a-0211-236e5f0c3439,"PYTHON, bl3nd3r, node.Js",0
"THIS T@SK INVOLVES TESTING @ CYBERSECURITY @PP. SKILLS NEEDED:   P3N3TR@TION T3STING , SIEM, ENCRYPTION.",CYB3RS3CURITY,"  p3n3tr@tion t3sting , SIEM, ENCRYPTION",e61b7abc-98f7-d29a-7c8f-ff9e32a1f3c8," TERRAFORM,  bl3nd3r , C#, fir3walls, CI/CD",0
" This task involves testing a mobile development app. Skills needed: r3act nativ3, Swift,  kotlin,  JAVA . ",Mobile Development,"r3act nativ3, Swift,  kotlin,  JAVA ",9ac76c8b-2f2c-0e7a-8253-b530811b9bde,"react,  react native , bl3nd3r, docker,  PYTHON ",0
" THIS T@SK INVOLVES IMPROVING @ WEB DEVELOPMENT @PP. SKILLS NEEDED:  RE@CT , HTML. ", Web Development ," RE@CT , html",aac632e0-71dd-212a-3e76-d1bb61b5275c,"KUBERNETES, html,  sql , NODE.JS",0
"This task involves developing a data science app. Skills needed: PYTHON, scikit-learn,  SQL , pandas.",D@T@ SCI3NC3,"PYTHON, scikit-learn,  SQL , pandas",611188ad-e897-50fc-9033-998092b01e57," Swift , python,  KUBERNETES , C++, C#",0
" This task involv3s d3v3loping a d3vops app. Skills n33d3d: dock3r,   t3rraform ,  CI/CD . ",DevOps,"docker,   terraform ,  CI/CD ",835a22a8-9f5f-5ea5-932d-cc52d0fd3e90,"aws , Unity, sql, blender, FIREWALLS",0
"This task involves developing a data science app. Skills needed: pandas, sql.",Data Science,"pandas, sql",7a35b475-35b6-6abb-d93f-848ddae612e8,"react native,  docker , NODE.JS, scikit-learn, NumPy",0
"THIS T@SK INVOLV3S IMPROVING @ MOBIL3 D3V3LOPM3NT @PP. SKILLS N33D3D:  KOTLIN,  J@V@ , R3@CT N@TIV3, SWIFT.", Mobile Development ," kotlin,  Java , re@ct n@tive, Swift",c74644ba-67fa-623a-f703-d6b88f95bd36,"AWS ,  javaScript , Unity,  fir3walls ",0
"This task involves improving a mobile development app. Skills needed: FLUTTER , Java, Swift,   kotlin .",Mobile Development,"FLUTTER , Java, Swift,   kotlin ",978cf8e1-2fca-d377-49af-e08f1fec8590,"  penetration testing , Unr3@l Engin3, SWIFT, NumPy",0
"This task involves improving a devops app. Skills needed: @ws , CI/CD.",DevOps,"@ws , CI/CD",6f09ac6b-9782-5948-e8f7-5b87a9e0d726,"html, BLENDER, Css,  re@ct n@tive ,  EncryptioN ",0
"This task involv3s t3sting a w3b d3v3lopm3nt app. Skills n33d3d: html, Css,  r3act , JAVASCRIPT.",Web Development,"html, Css,  r3act , JAVASCRIPT",2acfd17e-067f-ae78-b97e-97ef61f32cbd,"NumPy, ENCRYPTION,  FLUTT3R  ",0
"This t@sk involves testing @ devops @pp. Skills needed: kubernetes,  terr@form, docker.",DEVOPS,"kubernetes,  terr@form, docker",e9593dce-f089-efcd-a108-9b55f3056fe6,"re@ct,   p3n3tration t3sting , SIEM, NETWORKING, R3ACT NATIV3",0
"This task involv3s d3v3loping a mobil3 d3v3lopm3nt app. Skills n33d3d:  R3@CT N@TIV3 , FLUTT3R , SWIFT, Java.", MOBILE DEVELOPMENT ," R3@CT N@TIV3 , FLUTT3R , SWIFT, Java",3ac6ebb7-4c0e-3503-bc68-588860b9fda7,"kubernetes,  FIR3W@LLS ,  kotlin",0
"This task involves developing a devops app. Skills needed: AWS , kubernetes.",DEVOPS,"AWS , kubernetes",b11687fc-577d-9d62-2705-7dc193bd0417,"bl3nd3r, react native, EncryptioN",0
"This t@sk involv3s improving @ d@t@ sci3nc3 @pp. Skills n33d3d: p@nd@s, NumPy,  SQL .",D@t@ Sci3nc3,"pandas, NumPy,  SQL ",8efee871-7f0a-e425-e3ed-abe0438a6f2a,"j@v@Script,  Swift , FLUTTER , KUB3RN3T3S,  TERRAFORM",0
"THIS TASK INVOLVES TESTING A DEVOPS APP. SKILLS NEEDED: CI/CD,  TERR@FORM.",DevOps,"CI/CD,  terr@form",ac1454c5-976d-5b9f-eb63-7d497b7fbaed," P3N3TRATION T3STING, Css,  aws  ,  Swift , firew@lls",0
"This t@sk involv3s d3signing @ w3b d3v3lopm3nt @pp. Skills n33d3d: NODE.JS, j@v@Script, R3@CT, CSS.", Web Development ,"NODE.JS, j@v@Script, R3@CT, CSS",103d9fc6-d2b5-4b81-43a0-0b08d021af46,"P@ND@S,  TERR@FORM, EncryptioN, Css",0
"This task involves improving a game development app. Skills needed: BLENDER, Unity, Unreal Engine.",Gam3 D3v3lopm3nt,"BLENDER, Unity, Unreal Engine",eb8cd541-41d9-d7ee-9236-6e167d9c5321,"DOCKER,   penetr@tion testing ,  kotlin, c++",0
"This task involves designing a data science app. Skills needed: NumPy, pandas, PYTHON, sql.",DATA SCIENCE,"NumPy, pandas, PYTHON, sql",ca87e9c2-ca4d-c85e-4046-7272bb64f850,"Java, RE@CT N@TIVE,  r3@ct , firewalls",0
"This task involves improving a game development app. Skills needed: UNITY, C#, Unreal Engine, bl3nd3r.",Game Development,"UNITY, C#, Unreal Engine, bl3nd3r",0de0e4c1-a0b8-9c87-38a0-71c7ff583c55,"sql,  t3rr@form, scikit-l3@rn, c++, html",0
"This task involves testing a devops app. Skills needed:  KUBERNETES , CI/CD.", DEVOPS ," KUBERNETES , CI/CD",567970a7-1aaa-200f-a54a-2c975e5c62d4,"Unreal Engine, node.Js,  EncryptioN ",0
"This task involves developing a devops app. Skills needed:  AWS  , CI/CD, dock3r.",DevOps," AWS  , CI/CD, dock3r",a30853ef-0173-0f32-bcb3-6f97805e9d95," NUMPY , html,  Css ,  j@v@Script , react native",0
" THIS T@SK INVOLVES IMPROVING @ WEB DEVELOPMENT @PP. SKILLS NEEDED: CSS, J@V@SCRIPT,  R3@CT . ",W3b D3v3lopm3nt,"Css, javaScript,  r3act ",e83cbd6b-e433-77ac-2b06-a0e2a66949a9,"react native,  DOCKER , r3act, SIEM,  C++ ",0
"This task involves improving a cybersecurity app. Skills needed: firewalls, SIEM, networking,  p3n3tr@tion t3sting.",Cybersecurity,"firewalls, SIEM, networking,  p3n3tr@tion t3sting",e668af5e-0edb-9789-1c15-40c7365de463,"RE@CT, Unity, node.Js, HTML",0
"THIS TASK INVOLV3S IMPROVING A CYB3RS3CURITY APP. SKILLS N33D3D: NETWORKING, SIEM, ENCRYPTION,  FIR3WALLS .", Cybersecurity ,"NETWORKING, SIEM, ENCRYPTION,  FIR3WALLS ",7832c6ee-743f-37a1-c411-5d2f3ff7d93b,"n3tworking,  NODE.JS ,  j@v@Script , sql, re@ct",0
" This task involves developing a data science app. Skills needed: sql, scikit-learn. ",D@t@ Science,"sql, scikit-learn",5f2eb089-70cc-6bfe-fd90-75e0436448d3,"CI/CD, r3act, aws ",0
" This t@sk involves improving @ g@me development @pp. Skills needed: Unre@l Engine, C#, Unity. ",Gam3 D3v3lopm3nt,"Unreal Engine, C#, Unity",95c42197-f719-1bb7-de62-227968e7e7c2,"p@nd@s, docker,  J@V@ ",0
"THIS TASK INVOLV3S IMPROVING A MOBIL3 D3V3LOPM3NT APP. SKILLS N33D3D: SWIFT, JAVA, FLUTTER .",Mobile Development,"SWIFT, JAVA, FLUTTER ",c98b0847-227f-cd90-751d-4cafadd4b653,"docker, KUB3RN3T3S, firewalls",0
"This task involv3s t3sting a cyb3rs3curity app. Skills n33d3d:   p3n3tration t3sting ,  FIREWALLS , SIEM, ENCRYPTION.", Cybersecurity ,"  p3n3tration t3sting ,  FIREWALLS , SIEM, ENCRYPTION",4963a4d4-919a-d57c-3dbf-0da679e0e0d9,"SWIFT,  TERRAFORM,  sql ",0
"This task involves testing a cybersecurity app. Skills needed:  ENCRYPTION , SIEM, FIREWALLS.", Cybersecurity ," ENCRYPTION , SIEM, FIREWALLS",505aed1c-110b-ee72-bba4-95f3b5a4a710,"REACT, Unity,  SWIFT ",0
"This task involv3s d3signing a gam3 d3v3lopm3nt app. Skills n33d3d:  bl3nd3r ,  Unr3@l Engin3 , Unity.",G@me Development," blender ,  Unre@l Engine , Unity",685f7f92-d3f0-cd90-2d0e-6edb511c0993,"C#, NumPy, FIR3WALLS, javaScript",0
"THIS T@SK INVOLVES DEVELOPING @ D@T@ SCIENCE @PP. SKILLS NEEDED: NUMPY, PYTHON,  P@ND@S .",D@T@ SCIENCE,"NUMPY, python,  p@nd@s ",5989196e-0eb9-63b5-dc30-b8759e7a5ae8,"DOCKER, python, REACT NATIVE, UNITY",0
" This t@sk involves developing @ cybersecurity @pp. Skills needed:  FIREW@LLS ,  penetr@tion testing, SIEM. ",Cybersecurity," FIREW@LLS ,  penetration testing, SIEM",2ce2e45d-aba1-6c01-9984-f7d99d7aa6d7," terraform,  networking ,   penetration testing , c++",0
"THIS T@SK INVOLVES TESTING @ CYBERSECURITY @PP. SKILLS NEEDED: NETWORKING, FIREW@LLS.",Cybersecurity,"networking, firew@lls",89a4af7a-59c4-b7d3-2583-6357948e9dbd," kotlin,   PENETRATION TESTING ,  CSS , Swift, UNR3AL ENGIN3",0
"THIS TASK INVOLV3S IMPROVING A DATA SCI3NC3 APP. SKILLS N33D3D: PYTHON, PANDAS, NUMPY, SQL.", Data Sci3nc3 ,"python, PANDAS, NumPy, sql",f2798e4d-d083-a80a-bb51-972d98d2ee6c," kotlin, scikit-learn, SIEM",0
" This task involv3s improving a data sci3nc3 app. Skills n33d3d:  NumPy ,  sql , scikit-l3@rn,  python . ",DATA SCIENCE," NumPy ,  sql , scikit-le@rn,  python ",014c90bc-e84f-4f04-275a-f0163a63e357,"c++, p@nd@s,  firewalls , Swift, python",0
"THIS TASK INVOLVES IMPROVING A DATA SCIENCE APP. SKILLS NEEDED: SQL, PYTHON, SCIKIT-L3@RN.",Data Science,"SQL, PYTHON, SCIKIT-L3@RN",0f708575-4f1a-f9f9-81fa-7b204696bb36,"NumPy,  t3rraform, N3TWORKING, SIEM",0
"THIS TASK INVOLV3S T3STING A D3VOPS APP. SKILLS N33D3D: KUB3RN3T3S, DOCK3R, CI/CD.",DEVOPS,"kubernetes, docker, CI/CD",a5b507a5-1d6e-84d1-c4b9-1ddd6b0c4dc8,"C#, Unreal Engine, NumPy,  SIEM ,  TERRAFORM",0
"This task involv3s d3signing a data sci3nc3 app. Skills n33d3d: sql, scikit-l3arn, PYTHON.",Data Science,"sql, scikit-learn, PYTHON",ded23113-a0ea-7b00-e4d6-27e2e71acbb5,"sql, kubernetes,  TERR@FORM, Css,  kotlin",0
"THIS TASK INVOLVES TESTING A DATA SCIENCE APP. SKILLS NEEDED:  P@ND@S , PYTHON, SQL.",Data Sci3nc3," p@nd@s , python, sql",2daa0577-c338-e6c2-3b62-60bd8daf45f7,"Unity, Java, SIEM, CI/CD, docker",0
"THIS TASK INVOLVES DEVELOPING A WEB DEVELOPMENT APP. SKILLS NEEDED: CSS, R3ACT, JAVASCRIPT, NODE.JS.",WEB DEVELOPMENT,"Css, r3act, JAVASCRIPT, node.Js",41fe59a7-d8b1-417a-35a7-ce16f6f487a7,"react, Flutter , networking, SQL,   T3RRAFORM ",0
"This task involves improving a mobile development app. Skills needed:  KOTLIN,  Swift .",MOBILE DEVELOPMENT," KOTLIN,  Swift ",dc2a5a44-3f34-5f8f-f7ef-d355d9350ad7,"c++,  blender ,  pandas , ENCRYPTION, sql",0
"THIS TASK INVOLVES TESTING A GAME DEVELOPMENT APP. SKILLS NEEDED:  C++ , UNITY.",Game Development," c++ , Unity",4af226a2-fac5-dff2-7283-27059606c596,"node.Js, HTML, CI/CD, SWIFT,  N3TWORKING ",0
" This task involves testing a game development app. Skills needed: c++, Unity, C#, BLENDER. ",Game Development,"c++, Unity, C#, BLENDER",2d4426b1-a053-0d3d-2273-200408a7cd44,"c++, R3ACT,  PENETR@TION TESTING, Css, Swift",0
"THIS TASK INVOLVES IMPROVING A GAME DEVELOPMENT APP. SKILLS NEEDED: C#, C++.",G@m3 D3v3lopm3nt,"C#, c++",ed2f928c-6cfb-3eb3-9214-ec485a9c5e3b,"r3act nativ3, SIEM, node.Js",0
"THIS TASK INVOLV3S D3V3LOPING A MOBIL3 D3V3LOPM3NT APP. SKILLS N33D3D: JAVA, R3@CT N@TIV3.",Mobil3 D3v3lopm3nt,"JAVA, r3@ct n@tiv3",fd25a810-82ee-c086-ff99-0294445cb7e7,"Unr3@l Engin3, kubernetes, aws ,  RE@CT , scikit-learn",0
"This t@sk involv3s d3v3loping @ w3b d3v3lopm3nt @pp. Skills n33d3d: j@v@Script,  Css ,  r3@ct , HTML.",Web Development,"javaScript,  Css ,  react , HTML",59411494-6626-282b-60ae-717f5f6770d7,"SIEM, scikit-l3arn, c++, Flutter ",0
"This t@sk involves designing @ web development @pp. Skills needed: Css, node.Js,  re@ct .", W3b D3v3lopm3nt ,"Css, node.Js,  react ",af0b12b8-6750-f16b-a28f-1faf9e00f358,"C#,  CSS ,  c++ ,  T3RRAFORM",0
" THIS TASK INVOLVES DESIGNING A CYBERSECURITY APP. SKILLS NEEDED: SIEM,   PENETR@TION TESTING . ",Cybersecurity,"SIEM,   penetr@tion testing ",e249270f-9ddf-bfe8-c738-7f027093ed60,"CI/CD, Unity, Unr3@l Engin3,  NUMPY , firewalls",0
"THIS TASK INVOLV3S T3STING A MOBIL3 D3V3LOPM3NT APP. SKILLS N33D3D:  KOTLIN,  R3@CT N@TIV3 , FLUTT3R .",Mobile Development," kotlin,  r3@ct n@tiv3 , FLUTT3R ",8c4f8161-d259-f36a-95a8-25cc709d9d43," scikit-learn , C#,  c++ , SIEM",0
" THIS TASK INVOLVES DESIGNING A GAME DEVELOPMENT APP. SKILLS NEEDED: C++, UNREAL ENGINE,  C# . ",G@m3 D3v3lopm3nt,"c++, UNREAL ENGINE,  C# ",60ad399b-d034-5122-918c-1fe77cf443e4," p3n3tration t3sting, Css, r3act nativ3, SIEM",0
"THIS T@SK INVOLVES DEVELOPING @ D@T@ SCIENCE @PP. SKILLS NEEDED: SCIKIT-L3@RN, SQL, PYTHON.",D@t@ Sci3nc3,"scikit-l3arn, sql, PYTHON",17fdc02e-4d38-f21b-a8d9-ff5d5cf37537," SIEM , EncryptioN, networking, RE@CT, FLUTT3R ",0
"This t@sk involves designing @ devops @pp. Skills needed:  t3rr@form, @ws , CI/CD, docker.",DEVOPS," t3rr@form, @ws , CI/CD, docker",cec8d5f1-42a5-6194-545c-805163b1d7c7,"J@v@, CSS, C#, javaScript,  penetration testing",0
" THIS TASK INVOLVES DESIGNING A CYBERSECURITY APP. SKILLS NEEDED:  SIEM , FIR3W@LLS. ",Cyb3rs3curity," SIEM , fir3w@lls",e8f30e9f-f80f-a290-873d-e5b84d6bcb47," terraform, re@ct, FLUTTER , EncryptioN, FIR3WALLS",0
"This task involv3s improving a data sci3nc3 app. Skills n33d3d: pandas, SQL.",DATA SCIENCE,"pandas, SQL",8d86d8d4-6843-8042-d4f6-62ae5831dc57," p3n3tration t3sting, bl3nd3r, SIEM,  node.Js ",0
"This task involv3s d3v3loping a w3b d3v3lopm3nt app. Skills n33d3d: Css, html.", WEB DEVELOPMENT ,"Css, html",b4517af8-794c-dab9-d2a1-2d64453b6012,"SQL, python, NumPy,  NETWORKING ,  node.Js ",0
" THIS TASK INVOLVES DEVELOPING A DEVOPS APP. SKILLS NEEDED:  T3RRAFORM, CI/CD, @WS . ",DEVOPS," t3rraform, CI/CD, @ws ",3a341265-b93e-de72-8573-cf2896801dac,"scikit-le@rn, DOCKER,  CSS ",0
"This task involves improving a web development app. Skills needed: javaScript, REACT.",W3b D3v3lopm3nt,"javaScript, REACT",d50711e1-eff0-0727-31dc-bed6d5895cb6,"p@nd@s, sql, firewalls, nod3.Js",0
"This task involves developing a mobile development app. Skills needed: react native, Java,  Swift .", Mobile Development ,"react native, Java,  Swift ",0e803eaa-e56d-181d-9911-a25f91d0fe70,"scikit-learn,  Unr3al Engin3 , node.Js",0
"This t@sk involves improving @ d@t@ science @pp. Skills needed: SCIKIT-LE@RN, sql, NumPy, p@nd@s.",Data Science,"SCIKIT-LE@RN, sql, NumPy, p@nd@s",ee048d04-1540-2255-3870-b88ddbc41a78,"aws , Unity, J@V@SCRIPT, react native",0
